"timestamp","bid_price","bid_size","ask_price","ask_size"
8777951920,198250,191,198275,189
8778840502,198250,197,198275,189
8778840510,198250,197,198275,191
8779940551,198250,179,198275,191
8779940594,198250,179,198275,193
8780602801,198275,86,198300,315
8780602883,198275,86,198300,299
8781343542,198275,155,198300,299
8781343586,198275,155,198300,140
8782441409,198275,154,198300,140
8782441449,198275,154,198300,175
8783319946,198275,131,198300,175
8783319960,198275,131,198300,186
8783390925,198275,1,198300,186
8783390927,198275,1,198300,254
8783828528,198250,298,198300,254
8783828566,198250,291,198300,254
8783828595,198250,291,198275,74
8784115285,198275,61,198300,274
8784115369,198275,61,198300,261
8784489283,198275,114,198300,261
8784489316,198275,114,198300,218
8785370584,198275,136,198300,218
8785370591,198275,136,198300,188
8785589550,198250,308,198300,188
8785589555,198250,305,198300,188
8785589559,198250,305,198275,7
8785598120,198250,301,198275,7
8785808273,198250,211,198275,7
8785808284,198250,211,198275,114
8786030024,198250,121,198275,114
8786030056,198250,121,198275,126
8786688373,198250,1,198275,126
8786688394,198250,1,198275,180
8786904557,198225,241,198275,180
8786904561,198225,230,198275,180
8786904576,198225,230,198250,7
8787345004,198225,224,198250,7
8787345040,198225,224,198250,52
8787355383,198225,202,198250,52
8787355400,198225,202,198250,23
8787564149,198225,193,198250,23
8787564175,198225,193,198250,69
8788234313,198225,155,198250,69
8788234329,198225,155,198250,110
8788446588,198250,48,198275,197
8788446662,198250,48,198275,189
8788673598,198225,197,198275,189
8788673624,198225,245,198275,189
8788673643,198225,245,198250,8
8789112234,198225,245,198275,178
8789112258,198225,245,198275,182
8789112271,198225,250,198275,182
8789113714,198250,16,198275,182
8789113731,198250,16,198275,157
8789335210,198250,84,198275,157
8789335218,198250,84,198275,91
8789349294,198225,274,198275,91
8789349295,198225,283,198275,91
8789349299,198225,283,198250,11
8789553316,198250,5,198275,135
8789553336,198250,5,198275,157
8789771351,198250,37,198275,157
8789771367,198250,37,198275,116
8789997543,198225,288,198275,116
8789997552,198225,288,198250,2
8791092055,198225,278,198250,2
8791092067,198225,278,198250,36
8792918166,198225,286,198250,36
8792918183,198225,286,198250,41
8793643905,198225,69,198250,41
8793643924,198225,69,198250,118
8794528910,198200,263,198250,118
8794528929,198200,262,198250,118
8794528946,198200,262,198225,9
8795622432,198200,234,198225,9
8795622437,198200,234,198225,41
8796283301,198225,73,198250,200
8796283393,198225,73,198250,101
8796520590,198225,106,198250,101
8796520601,198225,106,198250,79
8796732748,198225,128,198250,79
8796732769,198225,128,198250,49
8797602220,198225,114,198250,49
8797602260,198225,114,198250,87
8798039260,198225,84,198250,87
8798039276,198225,84,198250,123
8798259969,198225,42,198250,123
8798260022,198225,42,198250,133
8798263592,198200,283,198250,133
8798263609,198200,281,198250,133
8798263628,198200,281,198225,14
8798920718,198200,243,198225,14
8798920776,198200,243,198225,62
8800018754,198200,199,198225,62
8800018780,198200,199,198225,66
8800899596,198200,190,198225,66
8800899630,198200,190,198225,86
8801372189,198200,220,198225,86
8801372238,198200,220,198225,32
8802251521,198200,232,198225,32
8802251540,198200,232,198225,9
8802473487,198200,229,198225,9
8802473489,198200,229,198225,56
8803373531,198200,204,198225,56
8803810762,198200,163,198225,56
8803810770,198200,163,198225,96
8804486766,198175,350,198225,96
8804486779,198175,348,198225,96
8804486809,198175,348,198200,82
8804714386,198175,308,198200,82
8804714398,198175,308,198200,13
8804714576,198200,20,198225,145
8804714658,198200,20,198225,244
8804924131,198200,78,198225,244
8804924162,198200,78,198225,241
8805138922,198200,125,198225,241
8805138933,198200,125,198225,190
8806236211,198200,118,198225,190
8806236250,198200,118,198225,165
8806678907,198200,176,198225,165
8806678931,198200,176,198225,131
8806688401,198225,107,198250,271
8806688432,198225,107,198250,268
8807684603,198225,103,198250,268
8807684652,198225,103,198250,222
8808343019,198200,245,198250,222
8808343031,198200,218,198250,222
8808343036,198200,218,198225,83
8809219654,198200,228,198225,83
8809219664,198200,228,198225,62
8809662746,198225,83,198250,256
